bank_id,settlement_date,settlement_amount,description,bank_reference
BNK0001,2024-05-28,3776.34,Settlement PAY5LXO6QJI Karan Joshi,PAY5LXO6QJI
BNK0002,2024-04-19,37477.18,Settlement PAY6OH9SDBD Lakshmi Joshi,PAY6OH9SDBD
BNK0003,2024-04-18,39707.93,Settlement PAYVNVQJT7Y Deepak Reddy,PAYVNVQJT7Y
BNK0004,2024-06-13,37668.45,Settlement PAYMKFAZZ81 Sneha Malhotra,PAYMKFAZZ81
BNK0006,2024-03-18,43590.67,Settlement Suresh Mehta Ref: P-VREN93II,
BNK0005,2024-03-18,43590.67,Settlement Suresh Mehta Ref: P-4SHNF877,
BNK0007,2024-05-18,48910.23,Settlement PAY1ERTJ5PH Divya,PAY1ERTJ5PH
BNK0008,2024-04-12,35790.97,Settlement PAY9XPSEIMV Nikhil Nair,PAY9XPSEIMV
BNK0009,2024-01-19,11400.76,Settlement PAYZCCBLSKR Neha Choudhary,PAYZCCBLSKR
BNK0010,2024-05-26,36305.95,Settlement PAYUIRODXMO Lakshmi Gupta,PAYUIRODXMO
BNK0011,2024-06-14,33831.55,Settlement PAYDOM5IGQP Geeta Verma,PAYDOM5IGQP
BNK0012,2024-01-21,12608.11,Settlement PAYP5TB9487 Arjun Pillai (net of 2% fees),PAYP5TB9487
BNK0013,2024-02-27,24048.46,Settlement PAY56FAO72K Ananya Kapoor (net of 2% fees),PAY56FAO72K
BNK0014,2024-01-15,15187.04,Settlement PAYUT0CVS4F Vikram,PAYUT0CVS4F
BNK0015,2024-01-18,3891.81,Settlement PAYYIE6IVWP Geeta Reddy,PAYYIE6IVWP
BNK0016,2024-03-08,26377.74,Settlement PAYHZIOYKL1 Manish Choudhary,PAYHZIOYKL1
BNK0017,2024-05-25,31247.38,Settlement PAY9CHJ755N Rahul Pillai,PAY9CHJ755N
BNK0018,2024-06-05,35325.23,Settlement PAY93TYT7D5 NEFT/RAJ MALHOTRA,PAY93TYT7D5
BNK0019,2024-03-15,8194.67,Settlement Sneha Malhotra Ref: P-VZHWJR64,
