transaction_id,payment_date,payment_amount,customer_name,payment_reference,status
TXN0001,2024-05-25,3776.34,Karan Joshi,PAY5LXO6QJI,CAPTURED
TXN0002,2024-04-19,37477.18,Lakshmi Joshi,PAY6OH9SDBD,CAPTURED
TXN0003,2024-04-18,39707.93,Deepak Reddy,PAYVNVQJT7Y,CAPTURED
TXN0004,2024-06-13,37668.45,Sneha Malhotra,PAYMKFAZZ81,CAPTURED
TXN0005,2024-03-17,43590.67,Suresh Mehta,PAY4SHNF877,CAPTURED
TXN0006,2024-05-16,48910.23,Divya Patel,PAY1ERTJ5PH,CAPTURED
TXN0007,2024-04-12,35790.97,Nikhil Nair,PAY9XPSEIMV,CAPTURED
TXN0008,2024-01-19,11400.76,Neha Choudhary,PAYZCCBLSKR,CAPTURED
TXN0009,2024-05-26,36305.95,Lakshmi Gupta,PAYUIRODXMO,CAPTURED
TXN0010,2024-06-14,33831.55,Geeta Verma,PAYDOM5IGQP,CAPTURED
TXN0011,2024-01-20,12865.42,Arjun Pillai,PAYP5TB9487,CAPTURED
TXN0012,2024-02-24,24539.24,Ananya Kapoor,PAY56FAO72K,CAPTURED
TXN0013,2024-01-15,15187.04,Vikram Nair,PAYUT0CVS4F,CAPTURED
TXN0014,2024-01-18,3891.81,Geeta Reddy,PAYYIE6IVWP,CAPTURED
TXN0015,2024-03-07,26377.74,Manish Choudhary,PAYHZIOYKL1,CAPTURED
TXN0016,2024-05-24,31247.38,Rahul Pillai,PAY9CHJ755N,CAPTURED
TXN0017,2024-06-05,35325.23,Raj Malhotra,PAY93TYT7D5,CAPTURED
TXN0018,2024-03-13,8194.67,Sneha Malhotra,PAYVZHWJR64,CAPTURED
TXN0019,2024-06-25,47280.02,Sneha Patel,PAY6T4UFEL6,CAPTURED
TXN0020,2024-06-19,34262.3,Pooja Nair,PAYD25OWF75,CAPTURED
TXN0021,2024-03-26,9378.35,Meera Sharma,PAY2OY0IFZN,CAPTURED
TXN0022,2024-04-27,11510.47,Geeta Bose,PAYM35IXOKC,CAPTURED
TXN0023,2024-05-10,17881.73,Gaurav Joshi,PAYO9T7E8G8,CAPTURED
TXN0024,2024-04-21,5865.93,Arjun Verma,PAYM2P9E6GB,CAPTURED
TXN0025,2024-06-20,34499.43,Suresh Malhotra,PAYHP87WXE6,CAPTURED
TXN0026,2024-03-24,33511.2,Suresh Singh,PAYOKEP7Y6W,CAPTURED
TXN0027,2024-01-01,27622.89,Kavya Shah,PAYKH2VLPYS,CAPTURED
TXN0028,2024-03-13,33113.11,Smita Reddy,PAYSWM31YIH,CAPTURED
TXN0029,2024-01-02,32974.87,Neha Gupta,PAY6452H2ZQ,CAPTURED
TXN0030,2024-02-01,45914.77,Lakshmi Iyer,PAYQ2Y9V86W,CAPTURED
TXN0031,2024-05-20,21623.67,Rashmi Chatterjee,PAYQF5Q14J1,CAPTURED
TXN0032,2024-03-14,22273.69,Neha Joshi,PAYIM6CFNFH,CAPTURED
TXN0033,2024-04-29,16878.63,Meera Kapoor,PAYOHP6VZ41,CAPTURED
TXN0034,2024-03-31,1288.91,Karan Bose,PAYKO64T026,CAPTURED
TXN0035,2024-06-22,17138.41,Rahul Shah,PAY20479T6V,CAPTURED
